No,Site,Type,Genotype,Micro,Mean,Mean2,Error
1,AH,Dry,MH63,Bac,149.3346985,155.982885,62.78679824
2,AH,Dry,MH63,Fun,6.648186452,6.648186452,3.575350184
3,AH,Wet,MH63,Bac,55.2214985,62.39043153,14.74090901
4,AH,Wet,MH63,Fun,7.168933035,7.168933035,5.265681854
5,AH,Dry,WYJ,Bac,73.09306558,100.0830951,20.08143448
6,AH,Dry,WYJ,Fun,26.99002948,26.99002948,13.01487346
7,AH,Wet,WYJ,Bac,60.69057996,80.09127923,22.88357169
8,AH,Wet,WYJ,Fun,19.40069927,19.40069927,7.25262647
9,HN,Dry,MH63,Bac,213.2979294,275.3659002,123.0566943
10,HN,Dry,MH63,Fun,62.06797083,62.06797083,27.69473818
11,HN,Wet,MH63,Bac,99.25587795,132.1127079,24.69060003
12,HN,Wet,MH63,Fun,32.85682998,32.85682998,10.14487622
13,HN,Dry,WYJ,Bac,387.6729796,507.5928243,145.8895086
14,HN,Dry,WYJ,Fun,119.9198447,119.9198447,44.94430778
15,HN,Wet,WYJ,Bac,89.89879524,132.4868378,25.93334869
16,HN,Wet,WYJ,Fun,42.58804252,42.58804252,21.25801527
