Group.2,Group.3,error_AA,error_RA
E05,Act-101,0.277488944,0.946004845
E05/10,Act-101,0.069152671,0.987309555
E05/20,Act-101,0.116127984,0.994814284
E05/5,Act-101,0.247432708,1.066225655
E05,Act-135,0.342002987,1.006123703
E05/10,Act-135,0.013423012,0.920820312
E05/20,Act-135,0.257178956,0.827578044
E05/5,Act-135,0.210213172,1.018843465
E05,Act-140,0.369817184,1.052852735
E05/10,Act-140,0.095895271,1.055826353
E05/20,Act-140,0.029754424,1.170570477
E05/5,Act-140,0.401784254,1.237325796
E05,Bac-186,0.16059965,0.82488683
E05/10,Bac-186,0.073452975,0.846925102
E05/20,Bac-186,0.214633233,0.867827283
E05/5,Bac-186,0.129916718,0.924098357
E05,Fir-11,0.518790909,1.114256021
E05/10,Fir-11,0.242105994,1.084895883
E05/20,Fir-11,0.023832976,1.07668697
E05/5,Fir-11,0.219505226,0.986017826
E05,Pro-1203,0.565627235,1.175846316
E05/10,Pro-1203,0.217527048,1.076468011
E05/20,Pro-1203,0.004583621,1.040623134
E05/5,Pro-1203,0.207879148,0.980687153
E05,Pro-1204,0.464692228,1.067864146
E05/10,Pro-1204,0.224915795,1.096702229
E05/20,Pro-1204,0.00215785,1.077764063
E05/5,Pro-1204,0.23990757,1.015129884
E05,Pro-670,0.38930315,0.978676601
E05/10,Pro-670,0.183867341,1.061021239
E05/20,Pro-670,0.070427438,0.985928254
E05/5,Pro-670,0.091075575,0.871395738
E05,Pro-672,0.285808832,0.889303789
E05/10,Pro-672,0.214807526,1.095608069
E05/20,Pro-672,0.094245096,0.961522536
E05/5,Pro-672,0.105383661,0.861421402
E05,Act-101,0.374812579,0.905839732
E05/10,Act-101,0.131841432,0.926858296
E05/20,Act-101,0.128012894,0.95185213
E05/5,Act-101,0.094329208,0.949736077
E05,Act-135,0.419890298,0.950962313
E05/10,Act-135,0.080356172,0.875805925
E05/20,Act-135,0.215221562,0.846009122
E05/5,Act-135,0.091464525,0.939541336
E05,Act-140,0.483421535,1.021378858
E05/10,Act-140,0.250470143,1.05551454
E05/20,Act-140,0.073909051,1.033649425
E05/5,Act-140,0.189483268,1.067612119
E05,Bac-186,0.303692962,0.840019172
E05/10,Bac-186,0.05104842,0.858242372
E05/20,Bac-186,0.171963966,0.90948096
E05/5,Bac-186,0.004318679,0.86438566
E05,Fir-11,0.224623788,0.73834329
E05/10,Fir-11,0.060305884,0.681427069
E05/20,Fir-11,0.395074807,0.659423982
E05/5,Fir-11,0.111431568,0.700573394
E05,Pro-1203,0.037408286,0.550724324
E05/10,Pro-1203,0.159771811,0.584521167
E05/20,Pro-1203,0.522598961,0.529777207
E05/5,Pro-1203,0.274671424,0.540461116
E05,Pro-1204,0.051898082,0.567360442
E05/10,Pro-1204,0.181202351,0.575414493
E05/20,Pro-1204,0.500215375,0.565715918
E05/5,Pro-1204,0.330668707,0.493772056
E05,Pro-670,0.071243262,0.442351201
E05/10,Pro-670,0.224957937,0.525304809
E05/20,Pro-670,0.602868054,0.450608884
E05/5,Pro-670,0.37723398,0.435190825
E05,Pro-672,0.005319063,0.521387965
E05/10,Pro-672,0.209737338,0.566623798
E05/20,Pro-672,0.663441433,0.382567173
E05/5,Pro-672,0.456687087,0.344052071
