Sample ID,Dilution,counts,log10,log2
1,E05,8798,5.900804598,19.602049
2,E05,8405,5.900804598,19.602049
3,E05,8130,5.900804598,19.602049
4,E05,8381,5.900804598,19.602049
5,E05/5,3829,5.201834594,17.28012
6,E05/5,3828,5.201834594,17.28012
7,E05/5,3717,5.201834594,17.28012
8,E05/5,3806,5.201834594,17.28012
9,E05/10,2571,4.900804598,16.28012
10,E05/10,2569,4.900804598,16.28012
11,E05/10,2550,4.900804598,16.28012
12,E05/10,2619,4.900804598,16.28012
13,E05/20,1649,4.599774602,15.28012
14,E05/20,1666,4.599774602,15.28012
15,E05/20,1794,4.599774602,15.28012
16,E05/20,1656,4.599774602,15.28012
