Group.2,Group.3,AAerror,RAerror
E05,Asco-AF1,0.637427202,1.027390796
E05,Asco-AF105,0.654989435,1.044818786
E05,Basi-AF78,0.510830874,0.903091733
E05,Basi-AF78,0.319382893,0.552128565
E05,Asco-AF1,0.008757829,0.223995757
E05,Asco-AF105,0.026242556,0.207255859
E05/10,Asco-AF1,0.400209795,0.998510104
E05/10,Asco-AF105,0.44790546,1.045779572
E05/10,Basi-AF78,0.337165597,0.935156056
E05/10,Basi-AF78,0.370651218,0.629175225
E05/10,Asco-AF1,0.077407753,0.182264246
E05/10,Asco-AF105,0.068059933,0.192210389
E05/20,Asco-AF1,0.39527241,0.998209723
E05/20,Asco-AF105,0.434267019,1.039407644
E05/20,Basi-AF78,0.341843903,0.94892942
E05/20,Basi-AF78,0.425508938,0.664755609
E05/20,Asco-AF1,0.052378753,0.186080658
E05/20,Asco-AF105,0.063348896,0.176696224
E05/5,Asco-AF1,0.492344317,1.010971561
E05/5,Asco-AF105,0.497234836,1.015283436
E05/5,Basi-AF78,0.449521324,0.968356926
E05/5,Basi-AF78,0.393511329,0.640194239
E05/5,Asco-AF1,0.028436167,0.218943963
E05/5,Asco-AF105,0.083761274,0.163934729
