Bacteria,AH_MH_RA,AH_MH_AA,AH_WYJ_RA,AH_WYJ_AA,HN_MH_RA,HN_MH_AA,HN_WYJ_RA,HN_WYJ_AA,
Acidobacteria,0,1.693,0,0,-3.696,-2.695,-2.145,0,
Actinobacteria,0,0.973,-0.481,0,0,1.229,-0.702,1.192,
Bacteroidetes,0,1.358,0,0,0,0,0,0,
Chloroflexi,0,1.907,0,0,-0.965,0,-1.244,0,
Firmicutes,0,2.235,0,0,0,0,2.683,4.641,
Gemmatimonadetes,0,2.005,0,0,0,0,0,0,
Ignavibacteriae,0,1.477,-1.202,0,0,0,0,0,
Latescibacteria,0,0,0,0,0,0,0,0,
Nitrospirae,-2.215,0,-3.557,-3.195,-4.178,-2.899,-4.487,-2.101,
Planctomycetes,1.094,2.457,0,0,0,0,0,0,
Poribacteria,0,0,0,0,0,0,0,0,
Spirochaetes,-3.205,-1.562,-2.218,-1.944,-3.485,-2.216,-4.999,-2.752,
Tenericutes,0,0,0,0,0,0,0,0,
Verrucomicrobia,1.026,2.372,1.142,1.259,-1.163,0,-1.167,0,
Alphaproteobacteria,0,1.272,0,0,0.849,1.853,0,2.512,
Betaproteobacteria,0,1.023,0.421,0.764,0,1.126,0,2.514,
Deltaproteobacteria,0,1.685,0.603,0.884,-1.749,-0.734,-2.678,0,
Gammaproteobacteria,0,1.63,0,0,-0.922,0,1.304,3.436,
