AhMH63,AhMH63AA
OTU_103,2.532
OTU_105,1.265
OTU_106,1.541
OTU_107,9.621
OTU_11,1.646
OTU_110,2.845
OTU_112,2.504
OTU_1134,2.478
OTU_114,1.888
OTU_116,2.124
OTU_117,2.54
OTU_1175,2.927
OTU_121,2.215
OTU_124,2.037
OTU_125,3.676
OTU_128,2.135
OTU_129,2.343
OTU_1310,1.835
OTU_133,2.101
OTU_138,2.688
OTU_1380,-1.365
OTU_140,1.395
OTU_1403,1.428
OTU_143,-2.4
OTU_147,1.556
OTU_1565,2.757
OTU_16,2.079
OTU_160,2.605
OTU_165,2.099
OTU_167,1.378
OTU_170,1.936
OTU_171,1.884
OTU_172,2.53
OTU_173,2.636
OTU_174,1.492
OTU_175,1.721
OTU_178,1.708
OTU_183,2.318
OTU_184,2.79
OTU_185,-1.883
OTU_186,2.518
OTU_187,2.216
OTU_188,2.126
OTU_19,1.757
OTU_1906,2.826
OTU_199,2.154
OTU_205,3.55
OTU_208,2.685
OTU_211,3.208
OTU_2117,1.713
OTU_214,-5.227
OTU_215,2.196
OTU_219,2.301
OTU_22,0.937
OTU_220,2.157
OTU_224,1.878
OTU_226,3.03
OTU_227,1.926
OTU_23,-2.484
OTU_230,2.714
OTU_231,1.135
OTU_2315,3.277
OTU_235,2.782
OTU_236,2.421
OTU_237,-1.656
OTU_244,3.755
OTU_245,3.383
OTU_247,2.083
OTU_248,2.282
OTU_2588,1.94
OTU_259,-6.251
OTU_266,3.357
OTU_267,-1.425
OTU_27,2.038
OTU_270,2.229
OTU_276,1.853
OTU_278,2.619
OTU_279,1.947
OTU_286,2.299
OTU_290,1.779
OTU_292,1.491
OTU_297,3.173
OTU_299,1.489
OTU_3,1.846
OTU_30,-1.873
OTU_301,3.009
OTU_302,-4.17
OTU_307,2.795
OTU_308,1.315
OTU_309,2.727
OTU_324,2.44
OTU_326,2.812
OTU_331,1.387
OTU_35,2.492
OTU_354,1.809
OTU_357,1.699
OTU_363,2.613
OTU_371,-2.551
OTU_374,-2.146
OTU_38,1.878
OTU_384,2.247
OTU_39,1.939
OTU_393,2.999
OTU_400,1.884
OTU_408,1.501
OTU_412,2.338
OTU_414,2.264
OTU_42,2.988
OTU_43,1.915
OTU_44,3.313
OTU_443,-0.9
OTU_444,1.119
OTU_454,2.523
OTU_47,1.939
OTU_470,3.587
OTU_486,1.763
OTU_491,2.011
OTU_499,-3.353
OTU_50,1.756
OTU_506,1.303
OTU_51,1.664
OTU_517,3.243
OTU_520,2.107
OTU_526,2.345
OTU_53,2.469
OTU_543,2.541
OTU_558,1.982
OTU_564,2.665
OTU_57,2.601
OTU_6,4.73
OTU_60,2.307
OTU_63,1.328
OTU_635,2.385
OTU_64,2.561
OTU_643,3.789
OTU_654,2.532
OTU_665,1.953
OTU_67,1.746
OTU_68,-1.994
OTU_686,3.848
OTU_694,1.563
OTU_707,1.694
OTU_71,2.38
OTU_720,3.192
OTU_73,2.004
OTU_736,1.098
OTU_751,3.588
OTU_791,2.506
OTU_811,3.371
OTU_82,2.891
OTU_84,2.027
OTU_878,2.61
OTU_91,1.623
OTU_92,-3.861
OTU_936,1.463
OTU_94,2.049
OTU_96,-3.114
