AhMH63,AhMH63RA
OTU_104,-0.917
OTU_107,6.44
OTU_1116,-3.149
OTU_115,-2.465
OTU_120,-1.697
OTU_124,0.705
OTU_125,1.87
OTU_128,0.717
OTU_138,1.15
OTU_1380,-2.899
OTU_143,-4.013
OTU_15,-3.553
OTU_154,-1.768
OTU_160,1.085
OTU_172,0.971
OTU_184,1.262
OTU_185,-3.96
OTU_186,1.153
OTU_211,1.554
OTU_214,-10.079
OTU_221,-1.515
OTU_226,1.495
OTU_23,-3.768
OTU_234,-1.418
OTU_237,-3.254
OTU_244,3.632
OTU_245,1.976
OTU_259,-11.14
OTU_266,1.454
OTU_267,-2.864
OTU_269,-3.434
OTU_283,-1.439
OTU_297,1.472
OTU_30,-3.337
OTU_301,1.936
OTU_302,-8.539
OTU_309,1.405
OTU_31,-2.635
OTU_326,1.378
OTU_35,1.007
OTU_371,-4.034
OTU_374,-3.055
OTU_386,-1.994
OTU_42,1.533
OTU_44,1.646
OTU_443,-3.28
OTU_49,-3.364
OTU_499,-4.26
OTU_621,7.865
OTU_643,2.882
OTU_68,-3.8
OTU_686,1.868
OTU_720,2.384
OTU_73,1.116
OTU_811,3.117
OTU_82,1.225
OTU_878,1.275
OTU_89,-2.053
OTU_92,-10.191
OTU_96,-4.565
