AhWYJ,AhWYJRA
OTU_101,-1.411
OTU_1027,-1.949
OTU_1029,-4.33
OTU_103,0.767
OTU_104,-2.05
OTU_1046,-6.516
OTU_108,-3.105
OTU_1095,-1.333
OTU_11,2.295
OTU_111,-5.221
OTU_1116,-2.78
OTU_115,-1.833
OTU_117,0.697
OTU_1175,0.863
OTU_119,-2.399
OTU_1194,-0.46
OTU_12,-4.046
OTU_120,-1.984
OTU_123,-1.26
OTU_1230,-1.01
OTU_1279,-3.2
OTU_128,1.613
OTU_129,0.861
OTU_130,-1.277
OTU_132,-1.941
OTU_137,-2.359
OTU_1380,-0.948
OTU_1390,-1.025
OTU_140,-1.35
OTU_142,2.897
OTU_143,-1.822
OTU_145,-0.613
OTU_146,-2.598
OTU_147,0.689
OTU_154,-0.948
OTU_16,0.651
OTU_164,2.994
OTU_166,-0.702
OTU_167,-0.447
OTU_17,-6.815
OTU_172,1.037
OTU_1729,1.322
OTU_176,-1.436
OTU_179,-0.656
OTU_18,-1.806
OTU_180,-6.271
OTU_181,-2.078
OTU_184,1.291
OTU_185,-2.578
OTU_187,-0.825
OTU_189,-2.737
OTU_190,-0.942
OTU_20,-0.814
OTU_205,1.223
OTU_206,-0.675
OTU_208,1.467
OTU_209,-0.276
OTU_21,-1.53
OTU_2117,-1.072
OTU_218,-1.587
OTU_22,1.858
OTU_221,-1.272
OTU_226,1.287
OTU_229,-1.932
OTU_23,-2.53
OTU_232,-1.214
OTU_234,-1.308
OTU_236,0.934
OTU_237,-2.935
OTU_244,3.998
OTU_248,0.878
OTU_2486,-0.806
OTU_259,-7.484
OTU_261,-1.117
OTU_262,-2.872
OTU_266,2.469
OTU_269,-7.588
OTU_270,-0.628
OTU_278,-1.08
OTU_279,-1.568
OTU_281,-2.129
OTU_283,-2.67
OTU_285,-3.103
OTU_289,-2
OTU_290,1.643
OTU_291,-3.49
OTU_292,-1.281
OTU_294,-3.311
OTU_2950,-2.227
OTU_296,-0.935
OTU_298,-0.875
OTU_3,0.83
OTU_30,-5.837
OTU_302,-2.209
OTU_304,-1.313
OTU_307,1.882
OTU_308,-0.675
OTU_309,1.131
OTU_31,-2.567
OTU_311,-0.881
OTU_312,-0.717
OTU_313,-1.83
OTU_315,-2.251
OTU_317,-1.493
OTU_319,-1.534
OTU_321,-0.908
OTU_326,1.408
OTU_328,-5.454
OTU_331,-0.683
OTU_342,-1.113
OTU_346,6.948
OTU_36,1.017
OTU_363,-0.726
OTU_370,-0.544
OTU_371,-2.096
OTU_374,-0.79
OTU_38,-0.276
OTU_386,-2.386
OTU_387,-0.538
OTU_40,-1.515
OTU_403,1.098
OTU_410,-1.062
OTU_411,-4.246
OTU_412,1.61
OTU_414,1.998
OTU_416,-1.155
OTU_418,-1.082
OTU_42,1.151
OTU_423,-3.768
OTU_43,-1.285
OTU_432,-2.078
OTU_443,-2.377
OTU_445,-1.366
OTU_447,-1.353
OTU_45,-3.013
OTU_450,-1.516
OTU_47,1.427
OTU_486,-0.664
OTU_49,-2.296
OTU_498,-2.726
OTU_499,-3.25
OTU_506,-0.291
OTU_513,-1.147
OTU_515,-1.168
OTU_520,0.794
OTU_53,1.009
OTU_54,-1.177
OTU_540,-3.533
OTU_558,-1.298
OTU_564,-0.563
OTU_565,-0.972
OTU_59,-2.118
OTU_621,6.946
OTU_630,-0.799
OTU_670,2.223
OTU_679,-1.016
OTU_68,-2.026
OTU_701,9.026
OTU_703,-0.845
OTU_71,0.457
OTU_720,2.223
OTU_745,-0.753
OTU_757,-0.381
OTU_765,-6.495
OTU_767,-1.988
OTU_775,-2.013
OTU_798,-1.835
OTU_80,-2.821
OTU_811,1.801
OTU_83,-2.186
OTU_84,1.539
OTU_89,-2.178
OTU_9,-1.37
OTU_90,-2.125
OTU_92,-1.873
OTU_931,-1.146
OTU_937,-0.835
OTU_948,-1.119
OTU_96,-3.986
OTU_99,-1.583
OTU_993,6.757
