HnMH63,HnMH63AA
OTU_10,-2.408
OTU_100,-7.631
OTU_1000,-1.729
OTU_101,3.459
OTU_102,4.145
OTU_1029,5.135
OTU_1047,2.56
OTU_106,0.827
OTU_1095,-5.431
OTU_110,2.023
OTU_111,-4.462
OTU_115,-4.674
OTU_119,-2.667
OTU_1194,1.869
OTU_122,1.594
OTU_123,-3.273
OTU_1230,2.46
OTU_125,-4.054
OTU_129,1.781
OTU_13,0.967
OTU_131,-10.374
OTU_132,2.83
OTU_133,3.018
OTU_1380,-1.037
OTU_14,3.05
OTU_1403,-2.736
OTU_141,2.671
OTU_142,-2.594
OTU_143,-9.31
OTU_146,-1.727
OTU_15,-8.305
OTU_150,-4.632
OTU_151,0.983
OTU_154,-6.246
OTU_1555,-4.131
OTU_1568,-3.271
OTU_16,1.38
OTU_160,1.103
OTU_161,1.666
OTU_164,-5.541
OTU_166,-1.381
OTU_167,2.577
OTU_17,3.107
OTU_170,1.534
OTU_182,4.134
OTU_184,2.259
OTU_19,3.737
OTU_193,4.08
OTU_1991,-0.366
OTU_2,1.86
OTU_20,1.492
OTU_206,-1.301
OTU_2072,-2.636
OTU_21,3.583
OTU_210,2.126
OTU_214,-7.031
OTU_222,1.87
OTU_225,2.518
OTU_23,-10.043
OTU_233,-10.596
OTU_237,-5.28
OTU_24,2.058
OTU_2588,-1.041
OTU_259,-6.988
OTU_262,2.167
OTU_265,-1.639
OTU_267,-4.285
OTU_269,-7.45
OTU_2795,-6.551
OTU_283,-2.456
OTU_285,3.567
OTU_289,3.516
OTU_29,2.251
OTU_290,-6.163
OTU_294,-5.505
OTU_2950,-4.548
OTU_2952,-1.675
OTU_3,-1.362
OTU_30,-5.446
OTU_302,-2.611
OTU_31,-5.379
OTU_312,-3.022
OTU_315,-4.607
OTU_33,-9.22
OTU_340,5.502
OTU_346,3.826
OTU_36,-0.819
OTU_37,2.355
OTU_373,2.183
OTU_374,-4.163
OTU_38,2.257
OTU_386,-4.575
OTU_4,3.371
OTU_411,-5.562
OTU_416,2.819
OTU_418,2.11
OTU_423,2.778
OTU_443,-2.825
OTU_45,2.142
OTU_492,-5.2
OTU_498,-4.452
OTU_499,-1.541
OTU_506,1.986
OTU_51,3.811
OTU_518,-1.982
OTU_528,-4.163
OTU_55,2.894
OTU_564,-2.033
OTU_568,5.73
OTU_57,1.75
OTU_58,1.408
OTU_59,2.872
OTU_60,4.204
OTU_603,2.037
OTU_62,-4.022
OTU_630,1.626
OTU_64,3.696
OTU_67,3.532
OTU_680,1.701
OTU_7,1.428
OTU_707,-3.608
OTU_72,-1.946
OTU_77,1.926
OTU_798,-5.119
OTU_80,-6.49
OTU_83,2.465
OTU_87,3.638
OTU_89,-4.391
OTU_9,-1.239
OTU_90,-1.302
OTU_92,-3.356
OTU_95,1.409
OTU_96,-3.176
OTU_97,5.462
OTU_98,-4.82
OTU_99,-1.62
