HnWYJ,HnWYJAA
OTU_10,-1.2
OTU_100,-9.535
OTU_101,6.062
OTU_102,9.078
OTU_1029,3.4
OTU_103,2.123
OTU_1041,2.001
OTU_105,-5.218
OTU_107,5.75
OTU_109,1.907
OTU_1095,-3.633
OTU_110,-2.14
OTU_115,-3.2
OTU_118,5.882
OTU_119,-3.828
OTU_120,-3.864
OTU_122,3.088
OTU_123,-3.141
OTU_1230,2.072
OTU_128,2.309
OTU_129,1.525
OTU_13,1.129
OTU_131,-9.939
OTU_132,5.3
OTU_133,3.133
OTU_134,3.745
OTU_137,2.097
OTU_138,1.744
OTU_1380,-1.12
OTU_14,4.707
OTU_141,5.682
OTU_142,-0.999
OTU_143,-7.192
OTU_146,-2.48
OTU_15,-10.097
OTU_1523,-1.845
OTU_153,5.559
OTU_154,-6.04
OTU_1555,-3.762
OTU_158,-3.812
OTU_16,2.389
OTU_160,1.166
OTU_161,2.324
OTU_162,2.75
OTU_165,3.698
OTU_17,3.903
OTU_172,-6.606
OTU_18,5.668
OTU_181,-3.012
OTU_182,4.69
OTU_1885,1.921
OTU_19,5.394
OTU_192,2.235
OTU_1944,2.36
OTU_1954,2.42
OTU_199,2.207
OTU_2,-2.721
OTU_20,1.623
OTU_2077,3.874
OTU_21,5.05
OTU_210,3.566
OTU_213,3.705
OTU_214,-6.474
OTU_217,2.278
OTU_22,3.42
OTU_222,3.167
OTU_225,2.862
OTU_23,-3.901
OTU_231,3.796
OTU_232,-2.028
OTU_233,-8.916
OTU_237,-3.33
OTU_24,3.089
OTU_245,-6.189
OTU_248,2.063
OTU_2588,1.601
OTU_259,-3.857
OTU_26,2.446
OTU_262,2.391
OTU_264,4.292
OTU_265,1.777
OTU_266,4.325
OTU_267,-3.508
OTU_269,-5.584
OTU_27,1.584
OTU_276,1.94
OTU_2775,3.665
OTU_278,-4.775
OTU_2795,-3.952
OTU_28,5.082
OTU_281,-4.531
OTU_283,-3.576
OTU_285,4.421
OTU_289,2.743
OTU_29,4.244
OTU_290,-7.134
OTU_294,-2.364
OTU_2950,-1.494
OTU_2952,-1.673
OTU_30,-8.216
OTU_301,-5.605
OTU_302,-3.762
OTU_309,0.96
OTU_31,-4.172
OTU_311,1.388
OTU_312,-1.597
OTU_33,-8.038
OTU_34,-11.249
OTU_343,2.368
OTU_346,2.849
OTU_35,2.251
OTU_354,2.155
OTU_356,3.036
OTU_357,2.621
OTU_36,-3.295
OTU_37,6.405
OTU_373,3.29
OTU_374,-2.746
OTU_38,1.405
OTU_386,-4.543
OTU_4,6.194
OTU_405,2.111
OTU_41,3.088
OTU_411,-4.203
OTU_412,-3.103
OTU_416,2.003
OTU_423,2.973
OTU_438,2.013
OTU_443,-4.137
OTU_444,-2.414
OTU_45,2.007
OTU_46,2.243
OTU_475,-5.325
OTU_481,1.36
OTU_49,1.747
OTU_492,-6.56
OTU_498,-3.009
OTU_499,-1.498
OTU_502,3.256
OTU_51,3.795
OTU_515,1.874
OTU_528,-5.947
OTU_53,1.468
OTU_54,-3.399
OTU_541,2.295
OTU_55,4.005
OTU_560,-4.846
OTU_57,2.341
OTU_574,3.455
OTU_59,1.784
OTU_592,1.27
OTU_6,6.508
OTU_60,4.569
OTU_61,-9.186
OTU_62,-3.858
OTU_638,2.56
OTU_64,4.177
OTU_65,3.88
OTU_66,-6.71
OTU_67,4.471
OTU_670,3.488
OTU_675,2.364
OTU_68,-7.988
OTU_680,1.929
OTU_69,5.462
OTU_691,-4.28
OTU_694,3.933
OTU_7,6.255
OTU_707,-6.798
OTU_72,-1.953
OTU_745,-5.656
OTU_77,2.249
OTU_775,1.681
OTU_78,1.128
OTU_80,-8.721
OTU_81,6.332
OTU_826,3.027
OTU_83,2.852
OTU_87,5.923
OTU_89,-3.019
OTU_9,-1.934
OTU_90,-10.119
OTU_92,-2.291
OTU_923,-1.19
OTU_926,-4.485
OTU_931,2.704
OTU_935,-4.114
OTU_95,1.476
OTU_98,-4.54
OTU_99,-3.422
