,spike,sample06,sample09,sample10,sample11,sample12,sample13,sample14,sample15
Bac-186,E05,20.10812236,25.6631612,23.03680525,23.70881567,25.57860655,26.00255725,25.59252253,27.24644967
Fir-11,E05,26.21308017,20.86014754,24.09476978,31.15538736,29.59587481,27.82750203,27.60654278,26.01482971
Act-101,E05,11.08913502,13.02778214,11.96542989,11.91006233,12.47151937,13.35580611,12.80738845,13.64835993
Act-135,E05,3.71835443,4.394914456,4.55967814,3.995992876,4.317064396,4.568173893,4.194948259,4.775669222
Act-140,E05,9.427742616,12.22727986,9.819699002,9.939893143,9.821321501,10.20574218,10.65984199,11.05944451
Pro-670,E05,5.472046414,4.285041595,4.932200864,3.595280499,3.117879842,3.917238173,3.905641482,3.481211512
Pro-672,E05,3.098628692,2.26024172,3.069587245,2.426536064,2.230483271,1.511100779,1.947257149,1.671484228
Pro-1203,E05,10.39029536,8.915397897,8.582923558,6.42252894,6.655474277,6.090898524,6.542784021,6.01985673
Pro-1204,E05,10.46940928,8.303249097,9.924005364,6.812110419,6.175800456,6.497733349,6.720818961,6.070126932
Bac-186,E05-5,20.78571912,25.65947242,22.36842105,21.4177884,25.1672707,25.43985079,26.13059023,27.83769565
Fir-11,E05-5,25.77591453,20.84732214,22.45457393,30.31198893,27.32785057,28.51103513,28.69597943,26.83809023
Act-101,E05-5,10.9540875,12.50999201,12.07706767,12.07699082,12.85893504,12.7199254,11.57247695,12.107063
Act-135,E05-5,3.820407059,4.492406075,3.90037594,3.799220028,4.641761918,4.532172832,4.070752054,4.182559516
Act-140,E05-5,9.608492799,12.69384492,10.85526316,10.03899862,10.25229997,10.68697544,10.72571034,11.02854137
Pro-670,E05-5,5.341808101,4.300559552,5.411967419,4.340168575,3.993587957,3.481504507,3.374521734,3.367091937
Pro-672,E05-5,3.583744675,2.581934452,3.007518797,2.660712039,2.216336772,2.430836183,2.402308223,2.334604761
Pro-1203,E05-5,9.899249442,8.161470823,9.75093985,7.604730155,6.621131865,5.533105378,6.297434611,5.813494673
Pro-1204,E05-5,10.21029143,8.737010392,10.15037594,7.724242043,6.906885977,6.633509481,6.717681741,6.457977114
Bac-186,E05-10,21.32325142,28.11316711,25.23378036,25.19496101,29.01855724,27.3309779,26.96043165,28.79469867
Fir-11,E05-10,25.06616257,18.36107737,22.71112722,30.34793041,27.16936749,26.93574466,27.00239808,26.01275319
Act-101,E05-10,11.53749212,13.49574909,11.9898514,12.4835033,12.7156299,13.55170968,12.85371703,13.30957739
Act-135,E05-10,3.742911153,4.293777238,4.095686843,3.665266947,4.286461056,4.623031319,4.706235012,4.75743936
Act-140,E05-10,9.149338374,11.63820819,9.48894527,9.514097181,9.102195504,9.623330738,9.970023981,10.34633658
Pro-670,E05-10,5.31821046,4.308066014,4.885828199,3.329334133,3.46314689,3.599017905,3.369304556,3.044511128
Pro-672,E05-10,3.245116572,2.814888905,3.117071403,2.24355129,1.862258233,2.107910653,2.194244604,1.919229807
Pro-1203,E05-10,10.18273472,8.108880474,9.017760058,6.478704259,6.194458965,6.000359303,6.103117506,5.576394099
Pro-1204,E05-10,10.42218021,8.844752447,9.452700254,6.706658668,6.174856247,6.197975927,6.816546763,6.226556639
Bac-186,E05-20,22.11442931,27.68529654,24.91353833,24.01985112,27.68635603,25.88254885,26.00168587,28.99486765
Fir-11,E05-20,24.42873006,19.41895057,22.25366283,30.17921147,27.09163347,28.51354352,27.46839,26.24992792
Act-101,E05-20,10.87020046,12.35521236,11.30604288,11.1552247,11.84825914,12.23357016,12.02584996,12.2426619
Act-135,E05-20,4.032493717,4.158491044,3.867194869,4.047422112,4.399792136,4.740230906,4.461927508,4.71137766
Act-140,E05-20,8.906551341,12.34888284,9.815758033,9.920044114,10.05254345,10.00222025,10.32312447,10.29352402
Pro-670,E05-20,5.569516685,4.399012596,5.080802364,4.008822719,3.545239333,3.702264654,3.585276763,3.511908194
Pro-672,E05-20,3.564958214,2.595100956,3.238382695,2.657843948,2.42508228,2.364564831,2.393930879,2.174038406
Pro-1203,E05-20,10.10461107,8.019494905,9.073759668,6.661152468,6.091575726,6.244449378,6.726608598,5.67441324
Pro-1204,E05-20,10.39682076,9.000569656,10.41941772,7.317342156,6.836422426,6.299955595,6.97948862,6.14151433
Bac-186,E00,21.56679637,27.33309125,24.34101287,24.70038911,27.72128256,26.46188969,26.51377575,28.71076524
Fir-11,E00,25.15693904,19.93048711,22.82586135,30.05447471,28.0533361,27.9821512,27.48923364,26.08041505
Act-101,E00,10.91050584,12.63163355,11.31174761,11.42931258,11.74120577,12.93519431,11.83520988,13.14137484
Act-135,E00,3.496757458,4.456087565,4.094022416,3.839169909,4.046902563,4.472578218,4.379183313,4.50843061
Act-140,E00,8.726329442,11.01312445,9.288086343,9.214007782,9.292310885,9.31354745,9.707881492,10.07522698
Pro-670,E00,5.649805447,4.9955906,5.531340805,4.088197147,3.797862405,3.881077155,3.746173403,3.28923476
Pro-672,E00,3.673151751,2.573014473,3.393524284,2.57846952,2.319186469,2.423078919,2.381570072,2.11154345
Pro-1203,E00,10.27756161,8.315609275,9.199875467,7.06614786,6.298640656,6.148497899,6.651792663,5.987029831
Pro-1204,E00,10.52658885,8.735799139,9.998962225,6.993514916,6.713707585,6.361230737,7.269236756,6.070038911
