id,fungi,spike,sample01,sample02,sample03
1,Asco-AF1,E05,0.267281343,0.258189633,0.27551432
2,Asco-AF105,E05,0.454053776,0.459353216,0.455677693
3,Basi-AF78,E05,0.278664881,0.282457152,0.268807987
4,Asco-AF1,E055,0.262199089,0.265112263,0.272061814
5,Asco-AF105,E055,0.437703318,0.42951723,0.441927613
6,Basi-AF78,E055,0.300097593,0.305370507,0.286010573
7,Asco-AF1,E04,0.261008838,0.257690818,0.267927441
8,Asco-AF105,E04,0.433522442,0.442735374,0.447742184
9,Basi-AF78,E04,0.30546872,0.299573809,0.284330374
10,Asco-AF1,E0520,0.264517318,0.258934192,0.269385811
11,Asco-AF105,E0520,0.418386146,0.426397067,0.433377309
12,Basi-AF78,E0520,0.317096536,0.314668741,0.297236881
13,Asco-AF1,E00,0.266657666,0.265037467,0.271552015
14,Asco-AF105,E00,0.412475528,0.406501046,0.415817188
15,Basi-AF78,E00,0.320866806,0.328461487,0.312630797
