SampleID,Dilution,counts,log2
GOS.Fun.BI05.06,E05,10213,19.60204858
GOS.Fun.BI05.09,E05,10548,19.60204858
GOS.Fun.BI05.10,E05,9795,19.60204858
GOS.Fun.BI055.06,E05/5,5035,17.28012048
GOS.Fun.BI055.09,E05/5,5309,17.28012048
GOS.Fun.BI055.10,E05/5,5037,17.28012048
GOS.Fun.BI04.06,E05/10,3716,16.28012048
GOS.Fun.BI04.09,E05/10,3817,16.28012048
GOS.Fun.BI04.10,E05/10,3717,16.28012048
GOS.Fun.BI0520.06,E05/20,2487,15.28012048
GOS.Fun.BI0520.09,E05/20,2624,15.28012048
GOS.Fun.BI0520.10,E05/20,2339,15.28012048
