fungi,spike,group,sample01,sample02,sample03,sample04,sample05,mean
Asco-AF1,E05,2:02:02,0.262934933,0.261824724,0.269823584,0.255940385,NA,0.262630907
Asco-AF105,E05,2:02:02,0.443048217,0.446948535,0.4409935,0.450157004,NA,0.445286814
Basi-AF78,E05,2:02:02,0.29401685,0.291226741,0.289182916,0.29390261,NA,0.292082279
Asco-AF1,E055,2:02:02,0.265960337,0.264999227,0.278133436,0.261290572,NA,0.267595893
Asco-AF105,E055,2:02:02,0.423021694,0.431653008,0.422522175,0.43682702,NA,0.428505974
Basi-AF78,E055,2:02:02,0.311017969,0.303347766,0.299344389,0.301882408,NA,0.303898133
Asco-AF1,E04,2:02:02,0.262960097,0.260904954,0.277626143,0.249583102,NA,0.262768574
Asco-AF105,E04,2:02:02,0.430750525,0.431351511,0.418117439,0.437576431,NA,0.429448977
Basi-AF78,E04,2:02:02,0.306289378,0.307743535,0.304256418,0.312840467,NA,0.307782449
Asco-AF1,E0520,2:02:02,0.265233103,0.263628559,0.275088802,0.258800801,NA,0.265687816
Asco-AF105,E0520,2:02:02,0.406239937,0.412898841,0.403968282,0.428663423,NA,0.412942621
Basi-AF78,E0520,2:02:02,0.32852696,0.3234726,0.320942916,0.312535776,NA,0.321369563
Asco-AF1,E05,1:01:01,0.267281343,0.258189633,0.27551432,NA,NA,0.266995099
Asco-AF105,E05,1:01:01,0.454053776,0.459353216,0.455677693,NA,NA,0.456361561
Basi-AF78,E05,1:01:01,0.278664881,0.282457152,0.268807987,NA,NA,0.27664334
Asco-AF1,E055,1:01:01,0.262199089,0.265112263,0.272061814,NA,NA,0.266457722
Asco-AF105,E055,1:01:01,0.437703318,0.42951723,0.441927613,NA,NA,0.43638272
Basi-AF78,E055,1:01:01,0.300097593,0.305370507,0.286010573,NA,NA,0.297159558
Asco-AF1,E04,1:01:01,0.261008838,0.257690818,0.267927441,NA,NA,0.262209032
Asco-AF105,E04,1:01:01,0.433522442,0.442735374,0.447742184,NA,NA,0.441333334
Basi-AF78,E04,1:01:01,0.30546872,0.299573809,0.284330374,NA,NA,0.296457634
Asco-AF1,E0520,1:01:01,0.264517318,0.258934192,0.269385811,NA,NA,0.264279107
Asco-AF105,E0520,1:01:01,0.418386146,0.426397067,0.433377309,NA,NA,0.426053507
Basi-AF78,E0520,1:01:01,0.317096536,0.314668741,0.297236881,NA,NA,0.309667386
